Nama File;Requirement Statement;Noise?
1_libra_srs-uji1;submit jobs with the associated deadline, cost, and execution time;0
1_libra_srs-uji1;query the cluster to establish the current cost per unit time for submitting new jobs;0
1_libra_srs-uji1;monitor the status of submitted jobs;0
1_libra_srs-uji1;cancel jobs submitted by him;0
1_libra_srs-uji1;check his credit balance;1
1_libra_srs-uji1;check his usage history ;0
1_libra_srs-uji1;check the status of each node of the cluster;0
1_libra_srs-uji1;check the usage pattern history of the cluster;0
1_libra_srs-uji1;check the status of all submitted jobs;0
1_libra_srs-uji1;check the load on each node of the cluster;0
1_libra_srs-uji1;alter the cost structure of the cluster;0
1_libra_srs-uji1;alter the scheduling policy of the cluster;0
1_libra_srs-uji1;cancel, suspend, and resume any job;0
2_SRS_sample V1.2;The system administrator must be able to deactivate and reactivate student account login;0
2_SRS_sample V1.2;The system administrator must be able to force the sending of a new password to a student via email;0
2_SRS_sample V1.2;The system administrator must be able to change any of a student's details;0
2_SRS_sample V1.2;Student can be register on the system and fill in all detail and forward to choose project/supervisor;0
2_SRS_sample V1.2;Student can change detail if information is incorrect such as telephone number;0
2_SRS_sample V1.2;Student can change his login password at any time for security reason;0
2_SRS_sample V1.2;Student can request his password if he/she forgotten the password;0
2_SRS_sample V1.2;All staff can view the details of any student;0
2_SRS_sample V1.2;Certain staff may be designated as Unit or Cohort Co-ordinators and can change the details of any student doing their unit or project cohort;0
2_SRS_sample V1.2;Unit Cohort co-ordinator can change student detail for incorrect information;0
2_SRS_sample V1.2;Unit Cohort co-ordinator can view student information and monitor their progress;0
2_SRS_sample V1.2;Unit Cohort co-ordinator can list all students in different period of different group;0
2_SRS_sample V1.2;Unit Cohort co-ordinator can reset the student’s password if required;0
2_SRS_sample V1.2;System Administrator can list all students in different period of different group to check any error;0
2_SRS_sample V1.2;System Administrator can reset the student’s password if required;0
2_SRS_sample V1.2;Administration Staff can list all students in different period of different group;0
2_SRS_sample V1.2;Administration Staff can make a school announcement;1
4.argos_urd-uji4;The archive administrator can create a new client space.;0
4.argos_urd-uji4;The client administrator can manage roles for its client.;0
4.argos_urd-uji4;The archive administrator cannot access documents.;0
4.argos_urd-uji4;The client administrator can view all roles.;0
4.argos_urd-uji4;The client administrator can’t read the contents of documents.;0
4.argos_urd-uji4;The client administrator cannot be deleted.;0
4.argos_urd-uji4;An end user can have multiple roles at the same time.;0
4.argos_urd-uji4;Each end user has a person role.;0
4.argos_urd-uji4;Only authenticated end users at the client server can access (as phrased in URCAR 45-48 and URCAR50) the document space.;0
4.argos_urd-uji4;End user cannot access (as phrased in URCAR 45-48 and URCAR50) the document spaces of other clients.;0
4.argos_urd-uji4;An end user can view assigned rights that are assigned to his role.;0
4.argos_urd-uji4;Each role is managed by at most one other role.;0
4.argos_urd-uji4;Each role inherits all static rights from the roles it manages.;0
4.argos_urd-uji4;Each role has a set (possibly empty) of person roles assigned to it.;0
4.argos_urd-uji4;Each role owns a set of documents in the SDA.;0
4.argos_urd-uji4;Each role has a set of rights assigned to it.;0
4.argos_urd-uji4;The archive administrator can limit the available client space.;0
4.argos_urd-uji4;A role can’t be deleted when there exists documents that are owned by that role.;0
4.argos_urd-uji4;An end user can for a predefined period of time delegate a role to another person role.;0
4.argos_urd-uji4;A role has a log in which the assignment of rights and the expiration of rights are logged.;0
4.argos_urd-uji4;A role has a log in which delegations and the expiration of delegations are logged.;0
4.argos_urd-uji4;A role can have the right to assign a role-right to a subordinate role.;0
4.argos_urd-uji4;A role can have the right to remove a role-right from a subordinate role.;0
4.argos_urd-uji4;A role can have the right to create subordinate roles.;0
4.argos_urd-uji4;Any role has the right to read (view) all roles.;0
4.argos_urd-uji4;A role can have the right to update subordinate roles.;0
4.argos_urd-uji4;A role can have the right to delete subordinate roles.;0
4.argos_urd-uji4;A role cannot be deleted when it manages subordinate roles.;0
4.argos_urd-uji4;A role can have the right to couple a person role to a subordinate role.;0
4.argos_urd-uji4;A role can have the right to decouple a person role from a subordinate role.;0
4.argos_urd-uji4;A role can have the right to assign a document right of a document he owns to another role.;0
4.argos_urd-uji4;A role can have the right to take a document right of a document he owns from another role.;0
4.argos_urd-uji4;A role can upload files into the document space associated with that role.;0
4.argos_urd-uji4;A role can download files from the document space associated with that role.;0
4.argos_urd-uji4;A role with the update right can update files in the document space associated with that role.;0
4.argos_urd-uji4;A role with the delete right can delete files in the document space associated with that role.;0
4.argos_urd-uji4;Each document in the SDA is owned by exactly one role.;0
4.argos_urd-uji4;A role that owns a document can hand over that ownership to another role.;0
4.argos_urd-uji4;A role can chat with other person with the same role;1
7_16hlmnExemplu_cerinte_software -uji7.doc;User can see detailed information about SGP;0
7_16hlmnExemplu_cerinte_software -uji7.doc;User can apply for SGP;0
7_16hlmnExemplu_cerinte_software -uji7.doc;User can application update form for SGP;0
7_16hlmnExemplu_cerinte_software -uji7.doc;User can update personal data;0
7_16hlmnExemplu_cerinte_software -uji7.doc;User can upload application related documents;0
7_16hlmnExemplu_cerinte_software -uji7.doc;User can perform psychological test;1
9_PINES Reports Software Requirements Specification_Final uji9.doc;The system supports (but does not require) streamlined staff login methods, for example staff member swipes a card to log into a terminal or the staff member logs into a terminal by using his/her individual login and password.;0
9_PINES Reports Software Requirements Specification_Final uji9.doc;System administrators can create reliable report templates that are available to staff, and can be run as is or modified to the staff person's particular needs. Changes in the templates could be done without comprising the results. The administrator can limit the filters and display fields that can be altered to certify a dependable output. For example, front-line staff could set the call number range for a weeding report or add or remove designated display fields from a pick list, but couldn’t alter the template to display deleted items.;0
9_PINES Reports Software Requirements Specification_Final uji9.doc;System provides distinct, fine-grained permission levels limiting who can create and clone reports. All permissions should be easy to administer. System administrators can create shared folders to allow or disallow staff to run specific reports, and/or to run ad hoc reports on specific sets of data.;0
9_PINES Reports Software Requirements Specification_Final uji9.doc;"System provides a user-friendly interface for designing queries against all record types. Staff can select fields to query select values from picklist of possible values select regular expressions from drop-down menu, and use a full range of Boolean operators. Administrators control staff access to tables and fields.";0
9_PINES Reports Software Requirements Specification_Final uji9.doc;The system provides pre-defined reports for consumption by library boards or other consumers. There will be reports providing basic statistics like those required by the Georgia Annual Report and Application for State Aid and activity reports that indicate traffic and volume of use that display statistics on check-outs, check-ins, holds placed, and holds filled. It should be possible cross-tabulated per terminal, per branch, per library system, per hour, per patron age range, per patron type, and per patron location.;0
9_PINES Reports Software Requirements Specification_Final uji9.doc;Transactions are archived in a form that protects patron privacy as defined by State Law, while providing useful demographic statistics.;0
9_PINES Reports Software Requirements Specification_Final uji9.doc;"Examples of periodic reports: bibliographic records with holds items that have not been checked out in X days item-level holds items with invalid item type in-transit items with outstanding hold items that have been in-transit for more than X days items that are the last copy in thesystem items with a long call number missing items bibliographic records with no item records patrons with invalid home library.";0
9_PINES Reports Software Requirements Specification_Final uji9.doc;System provides the query selections along with the results.;0
9_PINES Reports Software Requirements Specification_Final uji9.doc;Ability to see where your report is in the queue of reports waiting to run.;0
9_PINES Reports Software Requirements Specification_Final uji9.doc;System must be able to support the reporting definitions as described in Appendix A.;0
9_PINES Reports Software Requirements Specification_Final uji9.doc;System must be able to support the fine-grained reports requirements as described in Appendix B.;0
9_PINES Reports Software Requirements Specification_Final uji9.doc;The system produces statistics that can be used to understand and predict patron behavior and use of materials. For example, how quickly is a particular book returned, on average? How likely is a particular book to be renewed? What percent of check-outs at a particular branch are renewals?;0
9_PINES Reports Software Requirements Specification_Final uji9.doc;Ability to report on the volume of material in a given library at any point in time, based on new acquisitions, items on the shelf, and items out in circulation, with the ability to break down volume in categories (e.g. total items in library, number of holds, number of adult fiction, number of board books, etc).;0
9_PINES Reports Software Requirements Specification_Final uji9.doc;The system provides an interface showing capacity of all branches (as defined in PINES-014).;0
9_PINES Reports Software Requirements Specification_Final uji9.doc;For each genre and format of material, ability to compare the percentage of total circulations, the percentage of the collection, and the percentage of total shelf space that genre/format comprises. Ability to report per library and per system.;0
9_PINES Reports Software Requirements Specification_Final uji9.doc;"Ability to control inventory of uncataloged material, such as paperback books and children's board books. Support for quick distribution minimal branch labor and ability to identify how the material is being used. Ability to count transactions and include in circulation statistics and reports.";0
9_PINES Reports Software Requirements Specification_Final uji9.doc;"System provides a utility for transferring batches of items between branches, used for example to move books into a mobile library, an outreach program collection, or a ""just-in-time"" warehouse. Utility includes ability to query for candidate materials ability to save queries for repeated use ability to manually select titles from query results and ability to change records of all or selected items to move to new location. Mechanisms for moving items include changing location field, generating pull lists, etc. In addition, utility provides means to revert items to original location after a set period of time, and/or based on other criteria.";0
9_PINES Reports Software Requirements Specification_Final uji9.doc;The system generates a list of items that have been in-transit for more than X days (X configurable), per branch and per system.  The report would merge the transit to and transit from into one report for ease of front-line staff use.;0
9_PINES Reports Software Requirements Specification_Final uji9.doc;"The system provides a utility and reports for identifying item records to purge, based on customizable criteria such as: an item has been in status ""missing"" for more than X months an item has status ""discard/weed"". The system has a report to assist in the conversion of items from one status to another. The system provides a last copy report that would single out a library system's last copies, to assist catalogers who need to edit WorldCat entries. The system provides a quick effective method of deleting volume entries along with copy entries, as well as records with no items attached.";0
