Nama File;Requirement Statement;Noise?
1_libra_srs-uji1;submit jobs with the associated deadline, cost, and execution time;0
1_libra_srs-uji1;query the cluster to establish the current cost per unit time for submitting new jobs;0
1_libra_srs-uji1;monitor the status of submitted jobs;0
1_libra_srs-uji1;cancel jobs submitted by him;0
1_libra_srs-uji1;check his credit balance;1
1_libra_srs-uji1;check his usage history ;0
1_libra_srs-uji1;check the status of each node of the cluster;0
1_libra_srs-uji1;check the usage pattern history of the cluster;0
1_libra_srs-uji1;check the status of all submitted jobs;0
1_libra_srs-uji1;check the load on each node of the cluster;0
1_libra_srs-uji1;alter the cost structure of the cluster;0
1_libra_srs-uji1;alter the scheduling policy of the cluster;0
1_libra_srs-uji1;cancel, suspend, and resume any job;0
2_SRS_sample V1.2;The system administrator must be able to deactivate and reactivate student account login;0
2_SRS_sample V1.2;The system administrator must be able to force the sending of a new password to a student via email;0
2_SRS_sample V1.2;The system administrator must be able to change any of a student's details;0
2_SRS_sample V1.2;Student can be register on the system and fill in all detail and forward to choose project/supervisor;0
2_SRS_sample V1.2;Student can change detail if information is incorrect such as telephone number;0
2_SRS_sample V1.2;Student can change his login password at any time for security reason;0
2_SRS_sample V1.2;Student can request his password if he/she forgotten the password;0
2_SRS_sample V1.2;All staff can view the details of any student;0
2_SRS_sample V1.2;Certain staff may be designated as Unit or Cohort Co-ordinators and can change the details of any student doing their unit or project cohort;0
2_SRS_sample V1.2;Unit Cohort co-ordinator can change student detail for incorrect information;0
2_SRS_sample V1.2;Unit Cohort co-ordinator can view student information and monitor their progress;0
2_SRS_sample V1.2;Unit Cohort co-ordinator can list all students in different period of different group;0
2_SRS_sample V1.2;Unit Cohort co-ordinator can reset the student�s password if required;0
2_SRS_sample V1.2;System Administrator can list all students in different period of different group to check any error;0
2_SRS_sample V1.2;System Administrator can reset the student�s password if required;0
2_SRS_sample V1.2;Administration Staff can list all students in different period of different group;0
2_SRS_sample V1.2;Administration Staff can make a school announcement;1
4.argos_urd-uji4;The archive administrator can create a new client space.;0
4.argos_urd-uji4;The client administrator can manage roles for its client.;0
4.argos_urd-uji4;The archive administrator cannot access documents.;0
4.argos_urd-uji4;The client administrator can view all roles.;0
4.argos_urd-uji4;The client administrator can�t read the contents of documents.;0
4.argos_urd-uji4;The client administrator cannot be deleted.;0
4.argos_urd-uji4;An end user can have multiple roles at the same time.;0
4.argos_urd-uji4;Each end user has a person role.;0
4.argos_urd-uji4;Only authenticated end users at the client server can access (as phrased in URCAR 45-48 and URCAR50) the document space.;0
4.argos_urd-uji4;End user cannot access (as phrased in URCAR 45-48 and URCAR50) the document spaces of other clients.;0
4.argos_urd-uji4;An end user can view assigned rights that are assigned to his role.;0
4.argos_urd-uji4;Each role is managed by at most one other role.;0
4.argos_urd-uji4;Each role inherits all static rights from the roles it manages.;0
4.argos_urd-uji4;Each role has a set (possibly empty) of person roles assigned to it.;0
4.argos_urd-uji4;Each role owns a set of documents in the SDA.;0
4.argos_urd-uji4;Each role has a set of rights assigned to it.;0
4.argos_urd-uji4;The archive administrator can limit the available client space.;0
4.argos_urd-uji4;A role can�t be deleted when there exists documents that are owned by that role.;0
4.argos_urd-uji4;An end user can for a predefined period of time delegate a role to another person role.;0
4.argos_urd-uji4;A role has a log in which the assignment of rights and the expiration of rights are logged.;0
4.argos_urd-uji4;A role has a log in which delegations and the expiration of delegations are logged.;0
4.argos_urd-uji4;A role can have the right to assign a role-right to a subordinate role.;0
4.argos_urd-uji4;A role can have the right to remove a role-right from a subordinate role.;0
4.argos_urd-uji4;A role can have the right to create subordinate roles.;0
4.argos_urd-uji4;Any role has the right to read (view) all roles.;0
4.argos_urd-uji4;A role can have the right to update subordinate roles.;0
4.argos_urd-uji4;A role can have the right to delete subordinate roles.;0
4.argos_urd-uji4;A role cannot be deleted when it manages subordinate roles.;0
4.argos_urd-uji4;A role can have the right to couple a person role to a subordinate role.;0
4.argos_urd-uji4;A role can have the right to decouple a person role from a subordinate role.;0
4.argos_urd-uji4;A role can have the right to assign a document right of a document he owns to another role.;0
4.argos_urd-uji4;A role can have the right to take a document right of a document he owns from another role.;0
4.argos_urd-uji4;A role can upload files into the document space associated with that role.;0
4.argos_urd-uji4;A role can download files from the document space associated with that role.;0
4.argos_urd-uji4;A role with the update right can update files in the document space associated with that role.;0
4.argos_urd-uji4;A role with the delete right can delete files in the document space associated with that role.;0
4.argos_urd-uji4;Each document in the SDA is owned by exactly one role.;0
4.argos_urd-uji4;A role that owns a document can hand over that ownership to another role.;0
4.argos_urd-uji4;A role can chat with other person with the same role;1
7_16hlmnExemplu_cerinte_software -uji7.doc;User can see detailed information about SGP;0
7_16hlmnExemplu_cerinte_software -uji7.doc;User can apply for SGP;0
7_16hlmnExemplu_cerinte_software -uji7.doc;User can application update form for SGP;0
7_16hlmnExemplu_cerinte_software -uji7.doc;User can update personal data;0
7_16hlmnExemplu_cerinte_software -uji7.doc;User can upload application related documents;0
7_16hlmnExemplu_cerinte_software -uji7.doc;User can perform psychological test;1
12_15hlmnSRS4.0_uji12;The system shall display detailed product categorization to the user.;0
12_15hlmnSRS4.0_uji12;The system shall enable user to enter the search text on the screen.;0
12_15hlmnSRS4.0_uji12;The system shall enable user to select multiple options on the screen to search.;0
12_15hlmnSRS4.0_uji12;The system shall display all the matching products based on the search.;0
12_15hlmnSRS4.0_uji12;The system shall display only 10 matching result on the current screen.;0
12_15hlmnSRS4.0_uji12;The system shall enable user to navigate between the search results.;0
12_15hlmnSRS4.0_uji12;The system shall notify the user when no matching product is found on the search.;0
12_15hlmnSRS4.0_uji12;The system shall allow user to create profile and set his credential.;0
12_15hlmnSRS4.0_uji12;The system shall authenticate user credentials to view the profile.;0
12_15hlmnSRS4.0_uji12;The system shall allow user to update the profile information.;0
12_15hlmnSRS4.0_uji12;The system shall display both the active and completed order history in the customer profile.;0
12_15hlmnSRS4.0_uji12;The system shall allow user to select the order from the order history.;0
12_15hlmnSRS4.0_uji12;The system shall display the detailed information about the selected order.;0
12_15hlmnSRS4.0_uji12;The system shall display the most frequently searched items by the user in the profile.;0
12_15hlmnSRS4.0_uji12;The system shall allow user to register for newsletters and surveys in the profile.;0
12_15hlmnSRS4.0_uji12;The system shall provide online help, FAQ�s customer support, and sitemap options for customer support.;0
12_15hlmnSRS4.0_uji12;The system shall allow user to select the support type he wants.;0
12_15hlmnSRS4.0_uji12;The system shall allow user to enter the customer and product information for the support.;0
12_15hlmnSRS4.0_uji12;The system shall display the customer support contact numbers on the screen.;0
12_15hlmnSRS4.0_uji12;The system shall allow user to enter the contact number for support personnel to call.;0
12_15hlmnSRS4.0_uji12;The system shall display the online help upon request.;0
12_15hlmnSRS4.0_uji12;The system shall display the FAQ�s upon request.;0
12_15hlmnSRS4.0_uji12;The system shall maintain customer email information as a required part of customer profile.;0
12_15hlmnSRS4.0_uji12;The system shall send an order confirmation to the user through email.;0
12_15hlmnSRS4.0_uji12;The system shall display detailed invoice for current order once it is confirmed.;0
12_15hlmnSRS4.0_uji12;The system shall optionally allow user to print the invoice.;0
12_15hlmnSRS4.0_uji12;The system shall provide shopping cart during online purchase.;0
12_15hlmnSRS4.0_uji12;The system shall allow user to add/remove products in the shopping cart.;0
12_15hlmnSRS4.0_uji12;The system shall display different shipping options provided by shipping department.;0
12_15hlmnSRS4.0_uji12;The system shall enable user to select the shipping method during payment process.;0
12_15hlmnSRS4.0_uji12;The system shall display the shipping charges.;0
12_15hlmnSRS4.0_uji12;The system shall display tentative duration for shipping.;0
12_15hlmnSRS4.0_uji12;The system shall allow user to enter the order information for tracking.;0
12_15hlmnSRS4.0_uji12;The system shall display the current tracking information about the order.;0
12_15hlmnSRS4.0_uji12;The system shall calculate tax for the order.;0
12_15hlmnSRS4.0_uji12;The system shall display tax information for the order.;0
12_15hlmnSRS4.0_uji12;The system shall display available payment methods for payment.;0
12_15hlmnSRS4.0_uji12;The system shall allow user to select the payment method for order.;0
12_15hlmnSRS4.0_uji12;The system shall display the orders that are eligible to change.;0
12_15hlmnSRS4.0_uji12;The system shall allow user to select the order to be changed.;0
12_15hlmnSRS4.0_uji12;The system shall allow user to cancel the order.;0
12_15hlmnSRS4.0_uji12;The system shall allow user to change shipping, payment method.;0
12_15hlmnSRS4.0_uji12;The system shall notify the user about any changes made to the order.;0
12_15hlmnSRS4.0_uji12;The system shall display the reviews and ratings of each product, when it is selected.;0
12_15hlmnSRS4.0_uji12;The system shall enable the user to enter their reviews and ratings.;0
12_15hlmnSRS4.0_uji12;The system shall display all the available financing options.;0
12_15hlmnSRS4.0_uji12;The system shall allow user to select the financing option.;0
12_15hlmnSRS4.0_uji12;The system shall notify the use about the financing request.;0
12_15hlmnSRS4.0_uji12;The system shall allow user to view detailed sitemap.;0
12_15hlmnSRS4.0_uji12;The system shall display all the available promotions to the user.;0
12_15hlmnSRS4.0_uji12;The system shall allow user to select available promotion.;0
12_15hlmnSRS4.0_uji12;The system shall allow user to confirm the purchase.;0
12_15hlmnSRS4.0_uji12;The system shall enable user to enter the payment information.;0
