Nama,mean,max,std
derau 1,0.028958654,0.166477062,0.041385556
derau 2,0.062170473,0.19838302,0.055647889
derau 3,0.032514917,0.215610889,0.066613189
false detection derau,0.045290616,0.258355641,0.070511785
,0.22015898,0.640050488,0.178903133
,0.200904313,0.640050488,0.169023111
,0.190621189,0.517140541,0.150519287
,0.121273409,0.328825049,0.091721501
,0.123311459,0.517140541,0.132665126
,0.118873523,0.33253352,0.105010115
,0.161665004,0.586719803,0.145529344
,0.162152359,0.613804217,0.150411132
,0.175675085,0.527344727,0.120574259
,0.127190829,0.456503411,0.12101586
,0.092519533,0.306326379,0.099369688
,0.144120767,0.397107116,0.118717869
,0.089803207,0.397107116,0.105783799
,0.121395583,0.613804217,0.136415082
,0.089393866,0.456503411,0.095453017
,0.044231501,0.258355641,0.07158883
,0.081497623,0.354963182,0.085334828
,0.084984024,0.331210371,0.091972384
,0.064042414,0.457779101,0.121698654
,0.069687611,0.451474457,0.112273295
